D & B Used Cars,"111 Old Benbrook Rd, Dallas, TX 45137",817-555-5555
10112,1993,Ford,Explorer,SUV,Red,525123,995
37846,2001,Ford,Ranger,truck,Yellow,172544,1995
44901,2012,Honda,Civic,SUV,Gray,103221,6995
44902,2015,Ford,Fusion,Sedan,Blue,103222,8995
44903,2018,Toyota,Corolla,Sedan,White,103223,10995
44904,2019,Chevrolet,Malibu,Sedan,Red,103224,11995
44905,2016,Nissan,Altima,Sedan,Black,103225,9995
44906,2017,Hyundai,Elantra,Sedan,Silver,103226,10995
44907,2014,Kia,Optima,Sedan,Gray,103227,8495
44908,2013,BMW,3 Series,Sedan,Black,103228,13995
44909,2015,Lexus,ES 350,Sedan,Blue,103229,16995
44910,2016,Mercedes-Benz,C-Class,Sedan,White,103230,18995
44911,2017,Audi,A4,Sedan,Gray,103231,20995
44912,2018,Volvo,S60,Sedan,Black,103232,22995
44913,2014,Toyota,Rav4,SUV,Red,103233,13995
44914,2015,Honda,CR-V,SUV,White,103234,15995
44915,2016,Ford,Escape,SUV,Blue,103235,17995
44916,2017,Nissan,Rogue,SUV,Silver,103236,18995
44917,2018,Jeep,Cherokee,SUV,Black,103237,20995
44918,2019,Subaru,Outback,SUV,Gray,103238,22995
44919,2014,Toyota,Highlander,SUV,Blue,103239,24995
44920,2015,Ford,Explorer,SUV,Red,103240,26995
44921,2016,Chevrolet,Traverse,SUV,White,103241,28995
